Brand_ID,Brand_Name,Parent_Company,Brand_Origin_Country,Brand_Established_Year,Brand_Tier,Brand_Status,Brand_Support_Email,Brand_Support_Phone,Brand_Website_URL
B0118,Sub-Zero,Sub-Zero Group,USA,2006,Tier-2,Active,support@sub-zero.com,-4107,https://www.sub-zero.com
B0119,Wolf,Wolf Group,USA,1928,Tier-2,Active,support@wolf.com,-7666,https://www.wolf.com
B0120,Viking,Viking Group,USA,1916,Tier-2,Active,support@viking.com,-8633,https://www.viking.com
B0121,Thermador,Thermador Group,USA,1918,Tier-2,Active,support@thermador.com,-2587,https://www.thermador.com
B0124,Ford,Ford Group,USA,1961,Tier-1,Active,support@ford.com,-4985,https://www.ford.com
B0128,Tesla,Tesla Group,USA,1946,Tier-1,Active,support@tesla.com,-7318,https://www.tesla.com
B0148,Chevrolet,Chevrolet Group,USA,1981,Tier-2,Active,support@chevrolet.com,-4107,https://www.chevrolet.com
B0149,GMC,GMC Group,USA,1900,Tier-2,Active,support@gmc.com,-3401,https://www.gmc.com
B0150,Cadillac,Cadillac Group,USA,1960,Tier-1,Active,support@cadillac.com,-5549,https://www.cadillac.com
B0151,Buick,Buick Group,USA,1949,Tier-2,Active,support@buick.com,-11396,https://www.buick.com
B0152,Jeep,Jeep Group,USA,1940,Tier-2,Active,support@jeep.com,-3882,https://www.jeep.com
B0153,Ram,Ram Group,USA,1997,Tier-2,Active,support@ram.com,-8304,https://www.ram.com
B0154,Dodge,Dodge Group,USA,1943,Tier-2,Active,support@dodge.com,-1934,https://www.dodge.com
B0155,Chrysler,Chrysler Group,USA,1905,Tier-2,Active,support@chrysler.com,-3746,https://www.chrysler.com
B0163,Procter & Gamble,Procter & Gamble Group,USA,1980,Tier-1,Active,support@pg.com,-4996,https://www.procter&gamble.com
B0164,Est? Lauder,Est? Lauder Group,USA,1987,Tier-1,Active,support@est?lauder.com,-6436,https://www.est?lauder.com
B0165,Clinique,Clinique Group,USA,1977,Tier-1,Active,support@clinique.com,-10157,https://www.clinique.com
B0168,Ulta Beauty,Ulta Beauty Group,USA,1909,Tier-2,Active,support@ultabeauty.com,-9819,https://www.ultabeauty.com
B0170,Kiehl's,Kiehl's Group,USA,1997,Tier-1,Active,support@kiehls.com,-7192,https://www.kiehls.com
B0180,CeraVe,CeraVe Group,USA,1916,Tier-2,Active,support@cerave.com,-7040,https://www.cerave.com
B0181,Neutrogena,Neutrogena Group,USA,1959,Tier-2,Active,support@neutrogena.com,-6929,https://www.neutrogena.com
B0182,Olay,Olay Group,USA,1966,Tier-2,Active,support@olay.com,-9525,https://www.olay.com
B0184,Microsoft Xbox,Microsoft Xbox Group,USA,1977,Tier-1,Active,support@microsoftxbox.com,-6787,https://www.microsoftxbox.com
B0186,Electronic Arts,Electronic Arts Group,USA,1934,Tier-1,Active,support@electronicarts.com,-7667,https://www.electronicarts.com
B0187,Activision Blizzard,Activision Blizzard Group,USA,1949,Tier-1,Active,support@activisionblizzard.com,-2373,https://www.activisionblizzard.com
B0189,Take-Two Interactive,Take-Two Interactive Group,USA,1965,Tier-1,Active,support@take-twointeractive.com,-7909,https://www.take-twointeractive.com
B0195,Tiffany & Co.,Tiffany & Co. Group,USA,1941,Tier-1,Active,support@tiffany.com,-11293,https://www.tiffany.com
B0202,Harry Winston,Harry Winston Group,USA,1943,Tier-1,Active,support@harrywinston.com,-4444,https://www.harrywinston.com
B0212,Oldsmobile,General Motors,USA,1897,Tier-2,Inactive,support@oldsmobile.com,-5868,https://www.oldsmobile.com
B0213,Pontiac,General Motors,USA,1926,Tier-2,Inactive,support@pontiac.com,-6868,https://www.pontiac.com
B0214,Saturn,General Motors,USA,1985,Tier-2,Inactive,support@saturn.com,-7868,https://www.saturn.com
B0215,Hummer,General Motors,USA,1992,Tier-2,Active,support@hummer.com,-8868,https://www.hummer.com
B0216,Pan Am,Pan American World Airways,USA,1927,Tier-1,Inactive,support@panam.com,-2325,https://www.panam.com
B0217,Blockbuster,Dish Network,USA,1985,Tier-2,Inactive,support@blockbuster.com,-4067,https://www.blockbuster.com
B0218,Sears,Transformco,USA,1892,Tier-2,Inactive,support@sears.com,-3632,https://www.sears.com
B0221,Compaq,Hewlett-Packard,USA,1982,Tier-2,Inactive,support@compaq.com,-1320,https://www.compaq.com
B0012,Asus,Asus Group,Taiwan,1971,Tier-2,Active,support@asus.com,-2590,https://www.asus.com
B0022,Acer,Acer Group,Taiwan,1971,Tier-2,Active,support@acer.com,-15269,https://www.acer.com
B0023,MSI,MSI Group,Taiwan,1904,Tier-2,Active,support@msi.com,-19089,https://www.msi.com
B0024,BenQ,BenQ Group,Taiwan,1960,Tier-3,Active,support@benq.com,-13292,https://www.benq.com
B0025,Eizo,Eizo Group,Japan,1965,Tier-2,Active,support@eizo.com,-11926,https://www.eizo.com
B0027,AOC,AOC Group,Taiwan,1995,Tier-3,Active,support@aoc.com,-7485,https://www.aoc.com
B0028,Gigabyte,Gigabyte Group,Taiwan,1924,Tier-2,Active,support@gigabyte.com,-5238,https://www.gigabyte.com
B0029,ASRock,ASRock Group,Taiwan,1951,Tier-3,Active,support@asrock.com,-9827,https://www.asrock.com
B0030,TCL,TCL Group,China,1934,Tier-3,Active,support@tcl.com,-13756,https://www.tcl.com
B0031,Hisense,Hisense Group,China,2010,Tier-3,Active,support@hisense.com,-12154,https://www.hisense.com
B0033,Puma,Puma Group,Germany,1966,Tier-2,Active,support@puma.com,-58869992,https://www.puma.com
B0040,Fila,Fila Group,South Korea,1923,Tier-3,Active,support@fila.com,-7489,https://www.fila.com
B0043,Dr. Martens,Dr. Martens Group,UK,1916,Tier-2,Active,support@dr.martens.com,-12076,https://www.dr.martens.com
B0044,Clarks,Clarks Group,UK,1963,Tier-2,Active,support@clarks.com,-8214,https://www.clarks.com
B0045,Ecco,Ecco Group,Denmark,1911,Tier-2,Active,support@ecco.com,-10849,https://www.ecco.com
B0046,Mephisto,Mephisto Group,France,1980,Tier-2,Active,support@mephisto.com,-188,https://www.mephisto.com
B0047,Birkenstock,Birkenstock Group,Germany,1966,Tier-2,Active,support@birkenstock.com,-54907603,https://www.birkenstock.com
B0051,Salomon,Salomon Group,France,2009,Tier-2,Active,support@salomon.com,-265,https://www.salomon.com
B0113,Electrolux,Electrolux Group,Sweden,1953,Tier-2,Active,support@electrolux.com,-55802,https://www.electrolux.com
B0114,Haier,Haier Group,China,1937,Tier-2,Active,support@haier.com,-16177,https://www.haier.com
B0132,Mazda,Mazda Group,Japan,1999,Tier-2,Active,support@mazda.com,-18235,https://www.mazda.com
B0133,Subaru,Subaru Group,Japan,1902,Tier-2,Active,support@subaru.com,-11309,https://www.subaru.com
B0134,Mitsubishi,Mitsubishi Group,Japan,1957,Tier-2,Active,support@mitsubishi.com,-11212,https://www.mitsubishi.com
B0135,Volvo,Volvo Group,Sweden,1997,Tier-2,Active,support@volvo.com,-82892,https://www.volvo.com
B0143,Alfa Romeo,Alfa Romeo Group,Italy,1942,Tier-2,Active,support@alfaromeo.com,-6298,https://www.alfaromeo.com
B0144,Fiat,Fiat Group,Italy,1990,Tier-2,Active,support@fiat.com,-11076,https://www.fiat.com
B0145,Renault,Renault Group,France,1952,Tier-2,Active,support@renault.com,-140,https://www.renault.com
B0146,Peugeot,Peugeot Group,France,1985,Tier-2,Active,support@peugeot.com,-199,https://www.peugeot.com
B0147,Citro?,Citro? Group,France,1900,Tier-2,Active,support@citro?.com,-168,https://www.citro?.com
B0156,Genesis,Genesis Group,South Korea,1968,Tier-2,Active,support@genesis.com,-7772,https://www.genesis.com
B0176,Clarins,Clarins Group,France,1987,Tier-2,Active,support@clarins.com,-194,https://www.clarins.com
B0177,Biotherm,Biotherm Group,France,1917,Tier-2,Active,support@biotherm.com,-270,https://www.biotherm.com
B0178,Vichy,Vichy Group,France,1939,Tier-2,Active,support@vichy.com,-190,https://www.vichy.com
B0190,Bandai Namco,Bandai Namco Group,Japan,1921,Tier-2,Active,support@bandainamco.com,-7529,https://www.bandainamco.com
B0191,Square Enix,Square Enix Group,Japan,1903,Tier-2,Active,support@squareenix.com,-3994,https://www.squareenix.com
B0192,Capcom,Capcom Group,Japan,2006,Tier-2,Active,support@capcom.com,-11131,https://www.capcom.com
B0193,Sega,Sega Group,Japan,1927,Tier-2,Active,support@sega.com,-7120,https://www.sega.com
B0194,Konami,Konami Group,Japan,1938,Tier-2,Active,support@konami.com,-12701,https://www.konami.com
B0219,Saab,National Electric Vehicle Sweden,Sweden,1945,Tier-2,Inactive,support@saab.com,-15898,https://www.saab.com
B0220,Daewoo,GM Korea,South Korea,1967,Tier-3,Inactive,support@daewoo.com,-3254,https://www.daewoo.com
B0002,Samsung,Samsung Group,South Korea,1945,Tier-1,Active,support@samsung.com,-14070,https://www.samsung.com
B0003,Sony,Sony Group,Japan,1959,Tier-1,Active,support@sony.com,-12782,https://www.sony.com
B0005,Adidas,Adidas Group,Germany,1972,Tier-1,Active,support@adidas.com,-74465890,https://www.adidas.com
B0006,Gucci,Gucci Group,Italy,1999,Tier-1,Active,support@gucci.com,-11842,https://www.gucci.com
B0007,Nestle,Nestle Group,Switzerland,1934,Tier-1,Active,support@nestle.com,-4359,https://www.nestle.com
B0008,LG,LG Group,South Korea,1999,Tier-1,Active,support@lg.com,-9956,https://www.lg.com
B0011,Lenovo,Lenovo Group,China,1961,Tier-1,Active,support@lenovo.com,-9785,https://www.lenovo.com
B0015,Panasonic,Panasonic Group,Japan,1967,Tier-1,Active,support@panasonic.com,-9733,https://www.panasonic.com
B0016,Philips,Philips Group,Netherlands,1909,Tier-1,Active,support@philips.com,-3363,https://www.philips.com
B0017,Toshiba,Toshiba Group,Japan,2008,Tier-1,Active,support@toshiba.com,-11839,https://www.toshiba.com
B0018,Sharp,Sharp Group,Japan,1925,Tier-1,Active,support@sharp.com,-15070,https://www.sharp.com
B0019,Hitachi,Hitachi Group,Japan,1971,Tier-1,Active,support@hitachi.com,-11507,https://www.hitachi.com
B0020,Fujitsu,Fujitsu Group,Japan,2006,Tier-1,Active,support@fujitsu.com,-13034,https://www.fujitsu.com
B0021,NEC,NEC Group,Japan,1996,Tier-1,Active,support@nec.com,-14311,https://www.nec.com
B0050,On Running,On Running Group,Switzerland,1940,Tier-1,Active,support@onrunning.com,-1886,https://www.onrunning.com
B0052,Arc'teryx,Arc'teryx Group,Canada,1989,Tier-1,Active,support@arcteryx.com,-3561,https://www.arcteryx.com
B0057,Prada,Prada Group,Italy,1947,Tier-1,Active,support@prada.com,-5324,https://www.prada.com
B0058,Louis Vuitton,Louis Vuitton Group,France,1926,Tier-1,Active,support@louisvuitton.com,-211,https://www.louisvuitton.com
B0059,Chanel,Chanel Group,France,2010,Tier-1,Active,support@chanel.com,-223,https://www.chanel.com
B0060,Herm?,Herm? Group,France,1908,Tier-1,Active,support@herm?.com,-142,https://www.herm?.com
B0061,Burberry,Burberry Group,UK,1918,Tier-1,Active,support@burberry.com,-9867,https://www.burberry.com
B0068,Versace,Versace Group,Italy,1920,Tier-1,Active,support@versace.com,-3629,https://www.versace.com
B0069,Dolce & Gabbana,Dolce & Gabbana Group,Italy,1918,Tier-1,Active,support@dolcegabbana.com,-11529,https://www.dolce&gabbana.com
B0070,Fendi,Fendi Group,Italy,1927,Tier-1,Active,support@fendi.com,-16140,https://www.fendi.com
B0071,Balenciaga,Balenciaga Group,France,1917,Tier-1,Active,support@balenciaga.com,-176,https://www.balenciaga.com
B0072,Saint Laurent,Saint Laurent Group,France,1913,Tier-1,Active,support@saintlaurent.com,-159,https://www.saintlaurent.com
B0073,Givenchy,Givenchy Group,France,1991,Tier-1,Active,support@givenchy.com,-188,https://www.givenchy.com
B0074,Valentino,Valentino Group,Italy,1991,Tier-1,Active,support@valentino.com,-18825,https://www.valentino.com
B0075,Bottega Veneta,Bottega Veneta Group,Italy,1940,Tier-1,Active,support@bottegaveneta.com,-4722,https://www.bottegaveneta.com
B0076,Alexander McQueen,Alexander McQueen Group,UK,2001,Tier-1,Active,support@alexandermcqueen.com,-4562,https://www.alexandermcqueen.com
B0077,Jimmy Choo,Jimmy Choo Group,UK,1917,Tier-1,Active,support@jimmychoo.com,-11390,https://www.jimmychoo.com
B0078,Christian Louboutin,Christian Louboutin Group,France,1953,Tier-1,Active,support@christianlouboutin.com,-131,https://www.christianlouboutin.com
B0079,Manolo Blahnik,Manolo Blahnik Group,Spain,1996,Tier-1,Active,support@manoloblahnik.com,-4344,https://www.manoloblahnik.com
B0082,Unilever,Unilever Group,UK,1955,Tier-1,Active,support@unilever.com,-10665,https://www.unilever.com
B0083,Danone,Danone Group,France,1957,Tier-1,Active,support@danone.com,-171,https://www.danone.com
B0098,Red Bull,Red Bull Group,Austria,2006,Tier-1,Active,support@redbull.com,-2022,https://www.redbull.com
B0099,Heineken,Heineken Group,Netherlands,1945,Tier-1,Active,support@heineken.com,-10205,https://www.heineken.com
B0101,Diageo,Diageo Group,UK,1963,Tier-1,Active,support@diageo.com,-10314,https://www.diageo.com
B0102,Pernod Ricard,Pernod Ricard Group,France,1958,Tier-1,Active,support@pernodricard.com,-180,https://www.pernodricard.com
B0103,LVMH Wines,LVMH Wines Group,France,1901,Tier-1,Active,support@lvmhwines.com,-226,https://www.lvmhwines.com
B0104,JBS,JBS Group,Brazil,1918,Tier-1,Active,support@jbs.com,-16948,https://www.jbs.com
B0109,IKEA,IKEA Group,Sweden,1981,Tier-1,Active,support@ikea.com,-56198,https://www.ikea.com
B0111,Bosch,Bosch Group,Germany,1944,Tier-1,Active,support@bosch.com,-66432490,https://www.bosch.com
B0112,Siemens,Siemens Group,Germany,1915,Tier-1,Active,support@siemens.com,-21105094,https://www.siemens.com
B0115,Dyson,Dyson Group,UK,1918,Tier-1,Active,support@dyson.com,-9087,https://www.dyson.com
B0116,Miele,Miele Group,Germany,1981,Tier-1,Active,support@miele.com,-59252096,https://www.miele.com
B0117,Liebherr,Liebherr Group,Germany,2001,Tier-1,Active,support@liebherr.com,-29689850,https://www.liebherr.com
B0122,Toyota,Toyota Group,Japan,1932,Tier-1,Active,support@toyota.com,-12069,https://www.toyota.com
B0123,Honda,Honda Group,Japan,1997,Tier-1,Active,support@honda.com,-14081,https://www.honda.com
B0125,Volkswagen,Volkswagen Group,Germany,1905,Tier-1,Active,support@volkswagen.com,-13513284,https://www.volkswagen.com
B0126,BMW,BMW Group,Germany,2002,Tier-1,Active,support@bmw.com,-60462724,https://www.bmw.com
B0127,Mercedes-Benz,Mercedes-Benz Group,Germany,1974,Tier-1,Active,support@mercedes-benz.com,-89193191,https://www.mercedes-benz.com
B0129,Hyundai,Hyundai Group,South Korea,2004,Tier-1,Active,support@hyundai.com,-10462,https://www.hyundai.com
B0130,Kia,Kia Group,South Korea,1935,Tier-1,Active,support@kia.com,-18414,https://www.kia.com
B0131,Nissan,Nissan Group,Japan,1940,Tier-1,Active,support@nissan.com,-7492,https://www.nissan.com
B0136,Audi,Audi Group,Germany,1944,Tier-1,Active,support@audi.com,-19638206,https://www.audi.com
B0137,Porsche,Porsche Group,Germany,1941,Tier-1,Active,support@porsche.com,-26558988,https://www.porsche.com
B0138,Jaguar,Jaguar Group,UK,1905,Tier-1,Active,support@jaguar.com,-10360,https://www.jaguar.com
B0139,Land Rover,Land Rover Group,UK,1979,Tier-1,Active,support@landrover.com,-14471,https://www.landrover.com
B0140,Ferrari,Ferrari Group,Italy,2000,Tier-1,Active,support@ferrari.com,-3439,https://www.ferrari.com
B0141,Lamborghini,Lamborghini Group,Italy,1922,Tier-1,Active,support@lamborghini.com,-10523,https://www.lamborghini.com
B0142,Maserati,Maserati Group,Italy,1986,Tier-1,Active,support@maserati.com,-16199,https://www.maserati.com
B0157,Aston Martin,Aston Martin Group,UK,1923,Tier-1,Active,support@astonmartin.com,-17372,https://www.astonmartin.com
B0158,Bentley,Bentley Group,UK,1997,Tier-1,Active,support@bentley.com,-17197,https://www.bentley.com
B0159,Rolls-Royce,Rolls-Royce Group,UK,1959,Tier-1,Active,support@rolls-royce.com,-10226,https://www.rolls-royce.com
B0160,McLaren,McLaren Group,UK,1983,Tier-1,Active,support@mclaren.com,-7616,https://www.mclaren.com
B0161,Lotus,Lotus Group,UK,1982,Tier-1,Active,support@lotus.com,-14841,https://www.lotus.com
B0162,L'Or?l,L'Or?l Group,France,1950,Tier-1,Active,support@lor?l.com,-128,https://www.lor?l.com
B0166,MAC Cosmetics,MAC Cosmetics Group,Canada,1910,Tier-1,Active,support@maccosmetics.com,-2395,https://www.maccosmetics.com
B0167,Sephora,Sephora Group,France,1933,Tier-1,Active,support@sephora.com,-174,https://www.sephora.com
B0169,Shiseido,Shiseido Group,Japan,1965,Tier-1,Active,support@shiseido.com,-11785,https://www.shiseido.com
B0171,Dior,Dior Group,France,1942,Tier-1,Active,support@dior.com,-192,https://www.dior.com
B0172,Chanel Beauty,Chanel Beauty Group,France,1973,Tier-1,Active,support@chanelbeauty.com,-145,https://www.chanelbeauty.com
B0173,Guerlain,Guerlain Group,France,1983,Tier-1,Active,support@guerlain.com,-255,https://www.guerlain.com
B0174,Lanc?e,Lanc?e Group,France,1992,Tier-1,Active,support@lanc?e.com,-226,https://www.lanc?e.com
B0175,YSL Beauty,YSL Beauty Group,France,1912,Tier-1,Active,support@yslbeauty.com,-174,https://www.yslbeauty.com
B0179,La Roche-Posay,La Roche-Posay Group,France,1973,Tier-1,Active,support@laroche-posay.com,-271,https://www.laroche-posay.com
B0183,Sony PlayStation,Sony PlayStation Group,Japan,1941,Tier-1,Active,support@sonyplaystation.com,-12030,https://www.sonyplaystation.com
B0185,Nintendo,Nintendo Group,Japan,1994,Tier-1,Active,support@nintendo.com,-16410,https://www.nintendo.com
B0188,Ubisoft,Ubisoft Group,France,1935,Tier-1,Active,support@ubisoft.com,-198,https://www.ubisoft.com
B0196,Cartier,Cartier Group,France,1987,Tier-1,Active,support@cartier.com,-166,https://www.cartier.com
B0197,Rolex,Rolex Group,Switzerland,1909,Tier-1,Active,support@rolex.com,-2222,https://www.rolex.com
B0198,Omega,Omega Group,Switzerland,1903,Tier-1,Active,support@omega.com,-3955,https://www.omega.com
B0199,Patek Philippe,Patek Philippe Group,Switzerland,1921,Tier-1,Active,support@patekphilippe.com,-5087,https://www.patekphilippe.com
B0200,Tag Heuer,Tag Heuer Group,Switzerland,2001,Tier-1,Active,support@tagheuer.com,-8968,https://www.tagheuer.com
B0201,Bulgari,Bulgari Group,Italy,1953,Tier-1,Active,support@bulgari.com,-16923,https://www.bulgari.com
B0203,Van Cleef & Arpels,Van Cleef & Arpels Group,France,1907,Tier-1,Active,support@vancleefarpels.com,-293,https://www.vancleef&arpels.com
B0204,Chopard,Chopard Group,Switzerland,2009,Tier-1,Active,support@chopard.com,-6910,https://www.chopard.com
B0205,Audemars Piguet,Audemars Piguet Group,Switzerland,1946,Tier-1,Active,support@audemarspiguet.com,-6784,https://www.audemarspiguet.com
B0206,Vacheron Constantin,Vacheron Constantin Group,Switzerland,1986,Tier-1,Active,support@vacheronconstantin.com,-7672,https://www.vacheronconstantin.com
B0207,IWC,IWC Group,Switzerland,1919,Tier-1,Active,support@iwc.com,-8134,https://www.iwc.com
B0208,Jaeger-LeCoultre,Jaeger-LeCoultre Group,Switzerland,1982,Tier-1,Active,support@jaeger-lecoultre.com,-7069,https://www.jaeger-lecoultre.com
B0209,Breitling,Breitling Group,Switzerland,1981,Tier-1,Active,support@breitling.com,-9066,https://www.breitling.com
B0210,Hublot,Hublot Group,Switzerland,1916,Tier-1,Active,support@hublot.com,-10804,https://www.hublot.com
B0211,Richard Mille,Richard Mille Group,Switzerland,1913,Tier-1,Active,support@richardmille.com,-9010,https://www.richardmille.com
