Export_Log_ID,Reporting_Date,Settlement_Cycle_Code,Gross_Sales_Volume,Total_COGS,Tax_Component,Net_Profit_Amount,Corporate_Tax_Zone,Reconciliation_Match_Flag,Last_Sync_Timestamp,created_at,updated_at,source_system,etl_load_timestamp,record_version,is_active
EXP00000040,2023-02-09,DAILY,377062.50,270189.95,25279.78,81592.77,LATAM,Y,2023-02-09T23:59:00,2023-02-09T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000041,2023-02-10,DAILY,314092.87,232719.37,23205.32,58168.18,LATAM,Y,2023-02-10T23:59:00,2023-02-10T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000042,2023-02-11,DAILY,384852.43,305450.71,26571.50,52830.22,EU_CENTRAL,Y,2023-02-11T23:59:00,2023-02-11T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000043,2023-02-12,DAILY,337286.81,269094.07,21861.71,46331.03,EU_CENTRAL,Y,2023-02-12T23:59:00,2023-02-12T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000044,2023-02-13,DAILY,323047.43,254565.49,22043.27,46438.67,US_WEST,Y,2023-02-13T23:59:00,2023-02-13T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000045,2023-02-14,DAILY,411154.85,315753.96,27616.72,67784.17,US_WEST,Y,2023-02-14T23:59:00,2023-02-14T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000046,2023-02-15,DAILY,368928.50,258903.84,25647.67,84376.99,EU_CENTRAL,Y,2023-02-15T23:59:00,2023-02-15T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.489908,1,True
EXP00000047,2023-02-16,DAILY,400370.46,305831.89,27627.04,66911.53,APAC,Y,2023-02-16T23:59:00,2023-02-16T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491442,1,True
EXP00000048,2023-02-17,DAILY,325812.99,205416.87,23724.64,96671.48,LATAM,Y,2023-02-17T23:59:00,2023-02-17T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491442,1,True
EXP00000049,2023-02-18,DAILY,393231.05,278343.19,26154.37,88733.49,US_WEST,Y,2023-02-18T23:59:00,2023-02-18T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491773,1,True
EXP00000050,2023-02-19,DAILY,349492.15,223819.70,23606.35,102066.10,EU_CENTRAL,Y,2023-02-19T23:59:00,2023-02-19T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491773,1,True
EXP00000051,2023-02-20,DAILY,373276.95,232014.91,24743.97,116518.07,LATAM,Y,2023-02-20T23:59:00,2023-02-20T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491773,1,True
EXP00000052,2023-02-21,DAILY,325013.78,238069.35,24089.76,62854.67,US_WEST,Y,2023-02-21T23:59:00,2023-02-21T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491773,1,True
EXP00000053,2023-02-22,DAILY,367794.80,259404.72,26012.16,82377.92,EU_CENTRAL,Y,2023-02-22T23:59:00,2023-02-22T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491773,1,True
EXP00000054,2023-02-23,DAILY,304241.28,228687.11,21892.22,53661.95,US_EAST,Y,2023-02-23T23:59:00,2023-02-23T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.491773,1,True
EXP00000055,2023-02-24,DAILY,338809.14,246600.36,22387.66,69821.12,APAC,Y,2023-02-24T23:59:00,2023-02-24T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000056,2023-02-25,DAILY,354994.43,266791.57,24898.24,63304.62,US_EAST,Y,2023-02-25T23:59:00,2023-02-25T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000057,2023-02-26,DAILY,355448.28,283501.40,24793.50,47153.38,US_WEST,Y,2023-02-26T23:59:00,2023-02-26T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000058,2023-02-27,DAILY,372536.81,224199.49,25496.38,122840.94,US_WEST,Y,2023-02-27T23:59:00,2023-02-27T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000059,2023-02-28,DAILY,393825.98,280368.19,27055.44,86402.35,APAC,Y,2023-02-28T23:59:00,2023-02-28T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000060,2023-03-01,DAILY,323036.37,212692.47,22189.34,88154.56,APAC,Y,2023-03-01T23:59:00,2023-03-01T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000061,2023-03-02,DAILY,349779.77,254640.80,22639.72,72499.25,US_WEST,Y,2023-03-02T23:59:00,2023-03-02T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000062,2023-03-03,DAILY,340826.81,259851.51,23745.10,57230.20,APAC,Y,2023-03-03T23:59:00,2023-03-03T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.492466,1,True
EXP00000063,2023-03-04,DAILY,328504.62,237808.80,21569.72,69126.10,US_EAST,Y,2023-03-04T23:59:00,2023-03-04T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000064,2023-03-05,DAILY,331800.32,201301.93,24053.60,106444.79,LATAM,Y,2023-03-05T23:59:00,2023-03-05T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000065,2023-03-06,DAILY,336307.34,249543.96,22817.16,63946.22,US_EAST,Y,2023-03-06T23:59:00,2023-03-06T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000066,2023-03-07,DAILY,357208.82,222520.93,26736.63,107951.26,US_WEST,Y,2023-03-07T23:59:00,2023-03-07T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000067,2023-03-08,DAILY,389503.61,294477.32,26021.69,69004.60,US_WEST,Y,2023-03-08T23:59:00,2023-03-08T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000068,2023-03-09,DAILY,388354.50,303503.96,24892.06,59958.48,LATAM,Y,2023-03-09T23:59:00,2023-03-09T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000069,2023-03-10,DAILY,344278.91,265739.44,22115.60,56423.87,US_EAST,Y,2023-03-10T23:59:00,2023-03-10T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000070,2023-03-11,DAILY,318581.77,250298.67,22357.88,45925.22,US_EAST,Y,2023-03-11T23:59:00,2023-03-11T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000071,2023-03-12,DAILY,399188.37,281763.53,26315.11,91109.73,APAC,Y,2023-03-12T23:59:00,2023-03-12T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.493463,1,True
EXP00000072,2023-03-13,DAILY,354632.72,276482.45,22395.43,55754.84,US_EAST,Y,2023-03-13T23:59:00,2023-03-13T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000073,2023-03-14,DAILY,406688.18,276483.16,26434.78,103770.24,US_WEST,Y,2023-03-14T23:59:00,2023-03-14T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000074,2023-03-15,DAILY,328126.69,245528.12,21452.69,61145.88,US_WEST,Y,2023-03-15T23:59:00,2023-03-15T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000075,2023-03-16,DAILY,349351.68,273099.22,24776.09,51476.37,LATAM,Y,2023-03-16T23:59:00,2023-03-16T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000076,2023-03-17,DAILY,313903.23,196280.87,21562.18,96060.18,EU_CENTRAL,Y,2023-03-17T23:59:00,2023-03-17T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000077,2023-03-18,DAILY,305694.51,242804.14,19933.47,42956.90,US_EAST,Y,2023-03-18T23:59:00,2023-03-18T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000078,2023-03-19,DAILY,369649.13,286779.44,24066.70,58802.99,APAC,Y,2023-03-19T23:59:00,2023-03-19T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000079,2023-03-20,DAILY,372335.97,293535.91,24301.82,54498.24,LATAM,Y,2023-03-20T23:59:00,2023-03-20T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000080,2023-03-21,DAILY,332411.73,224426.21,21510.36,86475.16,US_EAST,Y,2023-03-21T23:59:00,2023-03-21T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.494468,1,True
EXP00000081,2023-03-22,DAILY,404660.82,285955.92,25851.50,92853.40,APAC,Y,2023-03-22T23:59:00,2023-03-22T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.495467,1,True
EXP00000082,2023-03-23,DAILY,389592.25,286652.54,26816.74,76122.97,US_WEST,Y,2023-03-23T23:59:00,2023-03-23T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.495467,1,True
EXP00000083,2023-03-24,DAILY,350740.83,221833.34,24915.81,103991.68,US_WEST,Y,2023-03-24T23:59:00,2023-03-24T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.495467,1,True
EXP00000084,2023-03-25,DAILY,422211.51,328515.83,27718.04,65977.64,US_EAST,Y,2023-03-25T23:59:00,2023-03-25T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.495467,1,True
EXP00000085,2023-03-26,DAILY,357917.17,243018.65,23398.55,91499.97,EU_CENTRAL,Y,2023-03-26T23:59:00,2023-03-26T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.496460,1,True
EXP00000086,2023-03-27,DAILY,376758.67,247930.45,25090.76,103737.46,LATAM,Y,2023-03-27T23:59:00,2023-03-27T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.496460,1,True
EXP00000087,2023-03-28,DAILY,351603.80,241296.89,23196.18,87110.73,APAC,Y,2023-03-28T23:59:00,2023-03-28T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.496460,1,True
EXP00000088,2023-03-29,DAILY,388986.45,263520.78,25563.01,99902.66,APAC,Y,2023-03-29T23:59:00,2023-03-29T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.496460,1,True
EXP00000089,2023-03-30,DAILY,312899.04,216526.22,22093.22,74279.60,EU_CENTRAL,Y,2023-03-30T23:59:00,2023-03-30T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.496460,1,True
EXP00000090,2023-03-31,DAILY,356462.69,216338.64,24757.95,115366.10,EU_CENTRAL,Y,2023-03-31T23:59:00,2023-03-31T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.496460,1,True
EXP00000091,2023-04-01,DAILY,305127.67,224901.78,21951.41,58274.48,LATAM,Y,2023-04-01T23:59:00,2023-04-01T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.496460,1,True
EXP00000092,2023-04-02,DAILY,323529.23,206484.28,21772.91,95272.04,APAC,Y,2023-04-02T23:59:00,2023-04-02T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000093,2023-04-03,DAILY,354771.89,260941.79,25206.19,68623.91,EU_CENTRAL,Y,2023-04-03T23:59:00,2023-04-03T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000094,2023-04-04,DAILY,385449.82,271802.95,26682.11,86964.76,US_EAST,Y,2023-04-04T23:59:00,2023-04-04T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000095,2023-04-05,DAILY,404507.67,313787.96,26338.32,64381.39,APAC,Y,2023-04-05T23:59:00,2023-04-05T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000096,2023-04-06,DAILY,342486.29,267294.82,24483.30,50708.17,EU_CENTRAL,Y,2023-04-06T23:59:00,2023-04-06T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000097,2023-04-07,DAILY,394060.64,303861.55,26670.73,63528.36,US_WEST,Y,2023-04-07T23:59:00,2023-04-07T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000098,2023-04-08,DAILY,374489.86,286323.54,25511.56,62654.76,LATAM,Y,2023-04-08T23:59:00,2023-04-08T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000099,2023-04-09,DAILY,314554.86,212997.27,21454.62,80102.97,US_WEST,Y,2023-04-09T23:59:00,2023-04-09T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000100,2023-04-10,DAILY,401613.34,252301.10,27336.24,121976.00,US_WEST,Y,2023-04-10T23:59:00,2023-04-10T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000101,2023-04-11,DAILY,338183.09,252518.17,23401.12,62263.80,US_EAST,Y,2023-04-11T23:59:00,2023-04-11T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.497478,1,True
EXP00000102,2023-04-12,DAILY,279227.66,195499.21,19357.89,64370.56,EU_CENTRAL,Y,2023-04-12T23:59:00,2023-04-12T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.498463,1,True
EXP00000103,2023-04-13,DAILY,344540.04,270433.91,22862.50,51243.63,LATAM,Y,2023-04-13T23:59:00,2023-04-13T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.498463,1,True
EXP00000104,2023-04-14,DAILY,349893.15,231297.59,24412.03,94183.53,LATAM,Y,2023-04-14T23:59:00,2023-04-14T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.498463,1,True
EXP00000105,2023-04-15,DAILY,449622.85,287372.88,30376.67,131873.30,EU_CENTRAL,Y,2023-04-15T23:59:00,2023-04-15T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.498463,1,True
EXP00000106,2023-04-16,DAILY,368236.31,291439.30,25265.53,51531.48,US_EAST,Y,2023-04-16T23:59:00,2023-04-16T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.499479,1,True
EXP00000107,2023-04-17,DAILY,411720.20,316114.40,25291.71,70314.09,US_WEST,Y,2023-04-17T23:59:00,2023-04-17T23:59:00,2026-06-15T00:00:00,SALES_RECONCILIATION_SYSTEM,2026-06-01T11:29:09.499479,1,True
